movie_title,genres,plot_keywords,imdb_score,duration,imdb_score_norm,duration_norm,clean_genres,clean_keywords,embedding_data
Star Trek: Nemesis ,Action|Adventure|Sci-Fi|Thriller,earth|federation|romulan|slave|space,6.4,116.0,0.6233766233766234,0.21626984126984125,Action Adventure Sci-Fi Thriller,earth federation romulan slave space,star trek: nemesis  earth federation romulan slave space genre: Action Adventure Sci-Fi Thriller
Intolerable Cruelty ,Comedy|Crime|Romance,attorney|divorce|marriage|real estate|screwball comedy,6.3,100.0,0.6103896103896104,0.1845238095238095,Comedy Crime Romance,attorney divorce marriage real estate screwball comedy,intolerable cruelty  attorney divorce marriage real estate screwball comedy genre: Comedy Crime Romance
Trouble with the Curve ,Drama|Sport,aging|baseball|baseball scout|north carolina|pitcher,6.8,111.0,0.6753246753246752,0.20634920634920634,Drama Sport,aging baseball baseball scout north carolina pitcher,trouble with the curve  aging baseball baseball scout north carolina pitcher genre: Drama Sport
Edge of Darkness ,Crime|Drama|Mystery|Thriller,activist|detective|father daughter relationship|investigation|vigilantism,6.6,117.0,0.6493506493506492,0.21825396825396823,Crime Drama Mystery Thriller,activist detective father daughter relationship investigation vigilantism,edge of darkness  activist detective father daughter relationship investigation vigilantism genre: Crime Drama Mystery Thriller
The Relic ,Horror|Mystery|Sci-Fi|Thriller,fire|helicopter|museum|police sergeant|relic,5.7,110.0,0.5324675324675324,0.20436507936507936,Horror Mystery Sci-Fi Thriller,fire helicopter museum police sergeant relic,the relic  fire helicopter museum police sergeant relic genre: Horror Mystery Sci-Fi Thriller
Analyze That ,Comedy|Crime,blonde|mafia|mental illness|prison|second part,5.9,96.0,0.5584415584415584,0.17658730158730157,Comedy Crime,blonde mafia mental illness prison second part,analyze that  blonde mafia mental illness prison second part genre: Comedy Crime
Righteous Kill ,Action|Crime|Drama|Mystery|Thriller,blood splatter|execution|new york city|nypd|serial killer,6.0,101.0,0.5714285714285714,0.18650793650793648,Action Crime Drama Mystery Thriller,blood splatter execution new york city nypd serial killer,righteous kill  blood splatter execution new york city nypd serial killer genre: Action Crime Drama Mystery Thriller
Mercury Rising ,Action|Crime|Drama|Thriller,autistic child|boy|child in danger|fbi|nsa,6.1,111.0,0.5844155844155844,0.20634920634920634,Action Crime Drama Thriller,autistic child boy child in danger fbi nsa,mercury rising  autistic child boy child in danger fbi nsa genre: Action Crime Drama Thriller
The Soloist ,Biography|Drama|Music,columnist|journalist|los angeles times|musician|wearing a traffic cone as a hat,6.7,117.0,0.6623376623376623,0.21825396825396823,Biography Drama Music,columnist journalist los angeles times musician wearing a traffic cone as a hat,the soloist  columnist journalist los angeles times musician wearing a traffic cone as a hat genre: Biography Drama Music
The Legend of Bagger Vance ,Drama|Fantasy|Sport,caddy|game|golf|golf course|golfer,6.7,126.0,0.6623376623376623,0.2361111111111111,Drama Fantasy Sport,caddy game golf golf course golfer,the legend of bagger vance  caddy game golf golf course golfer genre: Drama Fantasy Sport
Almost Famous ,Adventure|Comedy|Drama|Music,band|magazine|rolling stone magazine|smoking marijuana|tour,7.9,152.0,0.8181818181818182,0.2876984126984127,Adventure Comedy Drama Music,band magazine rolling stone magazine smoking marijuana tour,almost famous  band magazine rolling stone magazine smoking marijuana tour genre: Adventure Comedy Drama Music
Garfield 2 ,Animation|Comedy|Family|Fantasy,cat|england|lti txii|peugeot 206|rover 3 5 litre.coupe p5b,5.0,86.0,0.4415584415584416,0.15674603174603174,Animation Comedy Family Fantasy,cat england lti txii peugeot 206 rover 3 5 litre.coupe p5b,garfield 2  cat england lti txii peugeot 206 rover 3 5 litre.coupe p5b genre: Animation Comedy Family Fantasy
xXx: State of the Union ,Action|Adventure|Crime|Thriller,coup d'etat|mutiny|president|u.s. navy|washington d.c.,4.3,101.0,0.35064935064935066,0.18650793650793648,Action Adventure Crime Thriller,coup d'etat mutiny president u.s. navy washington d.c.,xxx: state of the union  coup d'etat mutiny president u.s. navy washington d.c. genre: Action Adventure Crime Thriller
Priest ,Action|Fantasy|Horror|Sci-Fi|Thriller,church|priest|sheriff|vampire|warrior,5.7,87.0,0.5324675324675324,0.15873015873015872,Action Fantasy Horror Sci-Fi Thriller,church priest sheriff vampire warrior,priest  church priest sheriff vampire warrior genre: Action Fantasy Horror Sci-Fi Thriller
Sinbad: Legend of the Seven Seas ,Adventure|Animation|Comedy|Drama|Family|Fantasy|Romance,book|framed|goddess|prince|sinbad,6.7,85.0,0.6623376623376623,0.15476190476190474,Adventure Animation Comedy Drama Family Fantasy Romance,book framed goddess prince sinbad,sinbad: legend of the seven seas  book framed goddess prince sinbad genre: Adventure Animation Comedy Drama Family Fantasy Romance
Event Horizon ,Horror|Sci-Fi|Thriller,solar system|space|spaceship|starship|year 2047,6.7,130.0,0.6623376623376623,0.244047619047619,Horror Sci-Fi Thriller,solar system space spaceship starship year 2047,event horizon  solar system space spaceship starship year 2047 genre: Horror Sci-Fi Thriller
The Avengers ,Action|Adventure|Sci-Fi,alien invasion|assassin|battle|iron man|soldier,8.1,173.0,0.844155844155844,0.32936507936507936,Action Adventure Sci-Fi,alien invasion assassin battle iron man soldier,the avengers  alien invasion assassin battle iron man soldier genre: Action Adventure Sci-Fi
Dragonfly ,Drama|Fantasy|Mystery|Romance|Thriller,death|doctor|grave|patient|venezuela,6.1,104.0,0.5844155844155844,0.19246031746031744,Drama Fantasy Mystery Romance Thriller,death doctor grave patient venezuela,dragonfly  death doctor grave patient venezuela genre: Drama Fantasy Mystery Romance Thriller
The Black Dahlia ,Crime|Drama|Mystery|Thriller,black dahlia|boxer|corpse|death|partner,5.6,121.0,0.5194805194805194,0.22619047619047616,Crime Drama Mystery Thriller,black dahlia boxer corpse death partner,the black dahlia  black dahlia boxer corpse death partner genre: Crime Drama Mystery Thriller
Flyboys ,Action|Adventure|Drama|History|Romance|War,american|france|military|pilot|training,6.6,140.0,0.6493506493506492,0.2638888888888889,Action Adventure Drama History Romance War,american france military pilot training,flyboys  american france military pilot training genre: Action Adventure Drama History Romance War
The Last Castle ,Action|Drama|Thriller,colonel|general|military|prison|three star general,6.9,131.0,0.6883116883116883,0.246031746031746,Action Drama Thriller,colonel general military prison three star general,the last castle  colonel general military prison three star general genre: Action Drama Thriller
Supernova ,Horror|Sci-Fi|Thriller,deep space|distress signal|explosion|mining|rescue,4.8,91.0,0.4155844155844155,0.16666666666666666,Horror Sci-Fi Thriller,deep space distress signal explosion mining rescue,supernova  deep space distress signal explosion mining rescue genre: Horror Sci-Fi Thriller
Winter's Tale ,Drama|Fantasy|Mystery|Romance,black and white photograph|drawing with blood|falling through ice|playing piano|red haired woman,6.2,118.0,0.5974025974025974,0.22023809523809523,Drama Fantasy Mystery Romance,black and white photograph drawing with blood falling through ice playing piano red haired woman,winter's tale  black and white photograph drawing with blood falling through ice playing piano red haired woman genre: Drama Fantasy Mystery Romance
The Mortal Instruments: City of Bones ,Fantasy|Horror|Mystery|Romance,battle|demon|magic|secret|warrior,6.0,130.0,0.5714285714285714,0.244047619047619,Fantasy Horror Mystery Romance,battle demon magic secret warrior,the mortal instruments: city of bones  battle demon magic secret warrior genre: Fantasy Horror Mystery Romance
Meet Dave ,Adventure|Comedy|Family|Romance|Sci-Fi,alien|mutiny|orb|planet|spaceship,4.9,90.0,0.4285714285714286,0.16468253968253965,Adventure Comedy Family Romance Sci-Fi,alien mutiny orb planet spaceship,meet dave  alien mutiny orb planet spaceship genre: Adventure Comedy Family Romance Sci-Fi
Dark Water ,Drama|Horror|Thriller,apartment|hello kitty|school|teacher|water,5.6,103.0,0.5194805194805194,0.19047619047619047,Drama Horror Thriller,apartment hello kitty school teacher water,dark water  apartment hello kitty school teacher water genre: Drama Horror Thriller
Edtv ,Comedy|Drama,female removes her clothes|one word title|producer|television|video store,6.1,122.0,0.5844155844155844,0.22817460317460314,Comedy Drama,female removes her clothes one word title producer television video store,edtv  female removes her clothes one word title producer television video store genre: Comedy Drama
Inkheart ,Adventure|Family|Fantasy,book|escape|girl|overalls|villain,6.1,106.0,0.5844155844155844,0.1964285714285714,Adventure Family Fantasy,book escape girl overalls villain,inkheart  book escape girl overalls villain genre: Adventure Family Fantasy
The Spirit ,Action|Crime|Fantasy|Thriller,female star appears nude|pants falling down|samurai|white rat|woman in a towel,4.8,103.0,0.4155844155844155,0.19047619047619047,Action Crime Fantasy Thriller,female star appears nude pants falling down samurai white rat woman in a towel,the spirit  female star appears nude pants falling down samurai white rat woman in a towel genre: Action Crime Fantasy Thriller
Mortdecai ,Action|Comedy|Mystery|Romance,art dealer|fake painting|macguffin|moustache|stolen painting,5.5,107.0,0.5064935064935064,0.1984126984126984,Action Comedy Mystery Romance,art dealer fake painting macguffin moustache stolen painting,mortdecai  art dealer fake painting macguffin moustache stolen painting genre: Action Comedy Mystery Romance
In the Name of the King: A Dungeon Siege Tale ,Action|Adventure|Fantasy|Thriller,farmer|king|krug|rescue|wizard,3.8,156.0,0.2857142857142857,0.29563492063492064,Action Adventure Fantasy Thriller,farmer king krug rescue wizard,in the name of the king: a dungeon siege tale  farmer king krug rescue wizard genre: Action Adventure Fantasy Thriller
Beyond Borders ,Adventure|Drama|Romance|War,africa|american|border|doctor|well,6.5,127.0,0.6363636363636364,0.23809523809523808,Adventure Drama Romance War,africa american border doctor well,beyond borders  africa american border doctor well genre: Adventure Drama Romance War
Xi you ji zhi: Sun Wukong san da Baigu Jing ,Action|Adventure|Fantasy,buddhism|demon|journey to the west|monk|monkey king,6.0,119.0,0.5714285714285714,0.2222222222222222,Action Adventure Fantasy,buddhism demon journey to the west monk monkey king,xi you ji zhi: sun wukong san da baigu jing  buddhism demon journey to the west monk monkey king genre: Action Adventure Fantasy
The Great Raid ,Action|Drama|War,american|lieutenant colonel|mission|rescue|soldier,6.7,132.0,0.6623376623376623,0.24801587301587297,Action Drama War,american lieutenant colonel mission rescue soldier,the great raid  american lieutenant colonel mission rescue soldier genre: Action Drama War
Deadpool ,Action|Adventure|Comedy|Romance|Sci-Fi,based on comic book|breaking the fourth wall|mercenary|mutant|self healing,8.1,108.0,0.844155844155844,0.20039682539682538,Action Adventure Comedy Romance Sci-Fi,based on comic book breaking the fourth wall mercenary mutant self healing,deadpool  based on comic book breaking the fourth wall mercenary mutant self healing genre: Action Adventure Comedy Romance Sci-Fi
Holy Man ,Comedy|Drama,1990s|evangelist|professional rivalry|swimming pool|televangelist,4.9,114.0,0.4285714285714286,0.21230158730158727,Comedy Drama,1990s evangelist professional rivalry swimming pool televangelist,holy man  1990s evangelist professional rivalry swimming pool televangelist genre: Comedy Drama
American Sniper ,Action|Biography|Drama|History|Thriller|War,assassin|death of child|iraq|sniper|sniper rifle,7.3,133.0,0.7402597402597402,0.25,Action Biography Drama History Thriller War,assassin death of child iraq sniper sniper rifle,american sniper  assassin death of child iraq sniper sniper rifle genre: Action Biography Drama History Thriller War
Goosebumps ,Adventure|Comedy|Family|Fantasy|Horror,based on book|blob|ferris wheel|manuscript|monster,6.4,103.0,0.6233766233766234,0.19047619047619047,Adventure Comedy Family Fantasy Horror,based on book blob ferris wheel manuscript monster,goosebumps  based on book blob ferris wheel manuscript monster genre: Adventure Comedy Family Fantasy Horror
"Sabrina, the Teenage Witch             ",Comedy|Family|Fantasy,female protagonist|hereditary gift of witchcraft|magic|supernatural|witch,6.6,22.0,0.6493506493506492,0.02976190476190476,Comedy Family Fantasy,female protagonist hereditary gift of witchcraft magic supernatural witch,"sabrina, the teenage witch              female protagonist hereditary gift of witchcraft magic supernatural witch genre: Comedy Family Fantasy"
Just Like Heaven ,Comedy|Fantasy|Romance,apartment|architect|coma|doctor|spirit,6.7,95.0,0.6623376623376623,0.1746031746031746,Comedy Fantasy Romance,apartment architect coma doctor spirit,just like heaven  apartment architect coma doctor spirit genre: Comedy Fantasy Romance
The Flintstones in Viva Rock Vegas ,Comedy|Family|Romance|Sci-Fi,based on tv series|love|prequel|the flintstones|title appears in song,3.6,90.0,0.2597402597402597,0.16468253968253965,Comedy Family Romance Sci-Fi,based on tv series love prequel the flintstones title appears in song,the flintstones in viva rock vegas  based on tv series love prequel the flintstones title appears in song genre: Comedy Family Romance Sci-Fi
Rambo III ,Action|Adventure|Thriller|War,afghanistan|colonel|rambo|rescue|soviet,5.7,87.0,0.5324675324675324,0.15873015873015872,Action Adventure Thriller War,afghanistan colonel rambo rescue soviet,rambo iii  afghanistan colonel rambo rescue soviet genre: Action Adventure Thriller War
Leatherheads ,Comedy|Drama|Romance|Sport,college football|fight|football|hero|surrender,6.0,114.0,0.5714285714285714,0.21230158730158727,Comedy Drama Romance Sport,college football fight football hero surrender,leatherheads  college football fight football hero surrender genre: Comedy Drama Romance Sport
The Ridiculous 6 ,Comedy|Western,apache|bank robbery|baseball|half brothers|white raised as indian,4.9,119.0,0.4285714285714286,0.2222222222222222,Comedy Western,apache bank robbery baseball half brothers white raised as indian,the ridiculous 6  apache bank robbery baseball half brothers white raised as indian genre: Comedy Western
Did You Hear About the Morgans? ,Comedy|Drama|Romance,fbi|murder|witness|witness protection|wyoming,4.7,103.0,0.4025974025974026,0.19047619047619047,Comedy Drama Romance,fbi murder witness witness protection wyoming,did you hear about the morgans?  fbi murder witness witness protection wyoming genre: Comedy Drama Romance
The Internship ,Comedy,actor's picture shown in credits|animated credits|google|internship|still images in end credits,6.3,125.0,0.6103896103896104,0.2341269841269841,Comedy,actor's picture shown in credits animated credits google internship still images in end credits,the internship  actor's picture shown in credits animated credits google internship still images in end credits genre: Comedy
Resident Evil: Afterlife ,Action|Adventure|Horror|Sci-Fi,alaska|female gunfighter|mutation|ship|siege,5.9,97.0,0.5584415584415584,0.17857142857142855,Action Adventure Horror Sci-Fi,alaska female gunfighter mutation ship siege,resident evil: afterlife  alaska female gunfighter mutation ship siege genre: Action Adventure Horror Sci-Fi
Red Tails ,Action|Adventure|Drama|History|War,african american|battle|italy|tuskegee airmen|world war two,5.9,125.0,0.5584415584415584,0.2341269841269841,Action Adventure Drama History War,african american battle italy tuskegee airmen world war two,red tails  african american battle italy tuskegee airmen world war two genre: Action Adventure Drama History War
Sex and the City             ,Comedy|Romance,casual sex|friendship|friendship between women|gay|singles,7.0,30.0,0.7012987012987012,0.04563492063492063,Comedy Romance,casual sex friendship friendship between women gay singles,sex and the city              casual sex friendship friendship between women gay singles genre: Comedy Romance
The Devil's Advocate ,Drama|Mystery|Thriller,deal with the devil|lawyer|money|reality|supernatural power,7.5,136.0,0.7662337662337662,0.25595238095238093,Drama Mystery Thriller,deal with the devil lawyer money reality supernatural power,the devil's advocate  deal with the devil lawyer money reality supernatural power genre: Drama Mystery Thriller
That's My Boy ,Comedy,argument|reference to vanilla ice|statutory rape|teacher student relationship|teacher student sex,5.6,116.0,0.5194805194805194,0.21626984126984125,Comedy,argument reference to vanilla ice statutory rape teacher student relationship teacher student sex,that's my boy  argument reference to vanilla ice statutory rape teacher student relationship teacher student sex genre: Comedy
DragonHeart ,Action|Adventure|Fantasy,dragon|england|human dragon relationship|king|knight,6.4,103.0,0.6233766233766234,0.19047619047619047,Action Adventure Fantasy,dragon england human dragon relationship king knight,dragonheart  dragon england human dragon relationship king knight genre: Action Adventure Fantasy
After the Sunset ,Action|Comedy|Crime|Drama,diamond|fbi|fbi agent|island|thief,6.3,97.0,0.6103896103896104,0.17857142857142855,Action Comedy Crime Drama,diamond fbi fbi agent island thief,after the sunset  diamond fbi fbi agent island thief genre: Action Comedy Crime Drama
Ghost Rider: Spirit of Vengeance ,Action|Fantasy|Thriller,deal with the devil|devil|eastern europe|ghost rider|monk,4.3,96.0,0.35064935064935066,0.17658730158730157,Action Fantasy Thriller,deal with the devil devil eastern europe ghost rider monk,ghost rider: spirit of vengeance  deal with the devil devil eastern europe ghost rider monk genre: Action Fantasy Thriller
Captain Corelli's Mandolin ,Drama|Music|Romance|War,captain|greek|island|italian|love,5.9,131.0,0.5584415584415584,0.246031746031746,Drama Music Romance War,captain greek island italian love,captain corelli's mandolin  captain greek island italian love genre: Drama Music Romance War
Anger Management             ,Comedy|Romance,anger management|argument|irony|sarcasm|therapist,6.7,22.0,0.6623376623376623,0.02976190476190476,Comedy Romance,anger management argument irony sarcasm therapist,anger management              anger management argument irony sarcasm therapist genre: Comedy Romance
The Pacifier ,Action|Comedy|Drama|Family|Thriller,bodyguard|death of husband|male nanny|nanny|wrestling match,5.5,95.0,0.5064935064935064,0.1746031746031746,Action Comedy Drama Family Thriller,bodyguard death of husband male nanny nanny wrestling match,the pacifier  bodyguard death of husband male nanny nanny wrestling match genre: Action Comedy Drama Family Thriller
Walking Tall ,Action|Crime,casino|football|sheriff|special forces|violence,6.2,86.0,0.5974025974025974,0.15674603174603174,Action Crime,casino football sheriff special forces violence,walking tall  casino football sheriff special forces violence genre: Action Crime
Forrest Gump ,Comedy|Drama,amputee|love|vietnam|vietnam war|war hero,8.8,142.0,0.935064935064935,0.26785714285714285,Comedy Drama,amputee love vietnam vietnam war war hero,forrest gump  amputee love vietnam vietnam war war hero genre: Comedy Drama
Alvin and the Chipmunks ,Animation|Comedy|Family|Fantasy|Music,based on cartoon|chipmunk|concert|fart joke|talking animal,5.2,92.0,0.4675324675324676,0.16865079365079363,Animation Comedy Family Fantasy Music,based on cartoon chipmunk concert fart joke talking animal,alvin and the chipmunks  based on cartoon chipmunk concert fart joke talking animal genre: Animation Comedy Family Fantasy Music
Meet the Parents ,Comedy,cat|cia|jewish|male nurse|nurse,7.0,108.0,0.7012987012987012,0.20039682539682538,Comedy,cat cia jewish male nurse nurse,meet the parents  cat cia jewish male nurse nurse genre: Comedy
Pocahontas ,Adventure|Animation|Drama|Family|History|Musical|Romance,actor playing multiple roles|love|one word title|unsubtitled foreign language|virginia,6.6,84.0,0.6493506493506492,0.15277777777777776,Adventure Animation Drama Family History Musical Romance,actor playing multiple roles love one word title unsubtitled foreign language virginia,pocahontas  actor playing multiple roles love one word title unsubtitled foreign language virginia genre: Adventure Animation Drama Family History Musical Romance
Superman ,Action|Adventure|Drama|Romance|Sci-Fi,1970s|clark kent|planet|superhero|year 1978,7.3,188.0,0.7402597402597402,0.35912698412698413,Action Adventure Drama Romance Sci-Fi,1970s clark kent planet superhero year 1978,superman  1970s clark kent planet superhero year 1978 genre: Action Adventure Drama Romance Sci-Fi
The Nutty Professor ,Comedy|Romance|Sci-Fi,face slap|formula|overweight|professor|teacher,5.6,95.0,0.5194805194805194,0.1746031746031746,Comedy Romance Sci-Fi,face slap formula overweight professor teacher,the nutty professor  face slap formula overweight professor teacher genre: Comedy Romance Sci-Fi
Hitch ,Comedy|Romance,advice|friendship|gossip|newspaper|quitting a job,6.6,118.0,0.6493506493506492,0.22023809523809523,Comedy Romance,advice friendship gossip newspaper quitting a job,hitch  advice friendship gossip newspaper quitting a job genre: Comedy Romance
George of the Jungle ,Action|Adventure|Comedy|Family|Romance,animal companion|heiress|hero|jungle|male objectification,5.4,92.0,0.49350649350649356,0.16865079365079363,Action Adventure Comedy Family Romance,animal companion heiress hero jungle male objectification,george of the jungle  animal companion heiress hero jungle male objectification genre: Action Adventure Comedy Family Romance
American Wedding ,Comedy|Romance,bachelor party|blow job|breasts|friend|wedding,6.3,74.0,0.6103896103896104,0.1329365079365079,Comedy Romance,bachelor party blow job breasts friend wedding,american wedding  bachelor party blow job breasts friend wedding genre: Comedy Romance
Captain Phillips ,Biography|Drama|Thriller,hijacking|hostage|leader|ship|somalia,7.9,134.0,0.8181818181818182,0.251984126984127,Biography Drama Thriller,hijacking hostage leader ship somalia,captain phillips  hijacking hostage leader ship somalia genre: Biography Drama Thriller
Date Night ,Comedy|Crime|Romance|Thriller,city|new york city|night|reservation|restaurant,6.3,101.0,0.6103896103896104,0.18650793650793648,Comedy Crime Romance Thriller,city new york city night reservation restaurant,date night  city new york city night reservation restaurant genre: Comedy Crime Romance Thriller
Casper ,Comedy|Family|Fantasy,casper|friendly ghost|ghost|maine|mansion,6.0,100.0,0.5714285714285714,0.1845238095238095,Comedy Family Fantasy,casper friendly ghost ghost maine mansion,casper  casper friendly ghost ghost maine mansion genre: Comedy Family Fantasy
The Equalizer ,Action|Crime|Thriller,assassin|ex soldier|gangster|hanged man|mysterious past,7.2,132.0,0.7272727272727273,0.24801587301587297,Action Crime Thriller,assassin ex soldier gangster hanged man mysterious past,the equalizer  assassin ex soldier gangster hanged man mysterious past genre: Action Crime Thriller
Maid in Manhattan ,Comedy|Drama|Romance,hotel|maid|new york city|place name in title|the bronx,5.1,105.0,0.4545454545454545,0.19444444444444442,Comedy Drama Romance,hotel maid new york city place name in title the bronx,maid in manhattan  hotel maid new york city place name in title the bronx genre: Comedy Drama Romance
Crimson Tide ,Action|Drama|Thriller|War,alabama|mutiny|order|radio|submarine,7.3,123.0,0.7402597402597402,0.23015873015873015,Action Drama Thriller War,alabama mutiny order radio submarine,crimson tide  alabama mutiny order radio submarine genre: Action Drama Thriller War
The Pursuit of Happyness ,Biography|Drama,bus|intern|internship|salesman|stockbroker,8.0,117.0,0.8311688311688311,0.21825396825396823,Biography Drama,bus intern internship salesman stockbroker,the pursuit of happyness  bus intern internship salesman stockbroker genre: Biography Drama
Flightplan ,Drama|Mystery|Thriller,captain|flight|flight attendant|plane|search,6.2,98.0,0.5974025974025974,0.18055555555555552,Drama Mystery Thriller,captain flight flight attendant plane search,flightplan  captain flight flight attendant plane search genre: Drama Mystery Thriller
Disclosure ,Drama|Thriller,computer|marriage|non statutory female on male rape|promotion|sexual harassment,6.0,128.0,0.5714285714285714,0.24007936507936506,Drama Thriller,computer marriage non statutory female on male rape promotion sexual harassment,disclosure  computer marriage non statutory female on male rape promotion sexual harassment genre: Drama Thriller
City of Angels ,Drama|Fantasy|Romance,angel|doctor|fall|heart surgeon|hospital,6.7,114.0,0.6623376623376623,0.21230158730158727,Drama Fantasy Romance,angel doctor fall heart surgeon hospital,city of angels  angel doctor fall heart surgeon hospital genre: Drama Fantasy Romance
Kill Bill: Vol. 1 ,Action,bride|coma|japan|revenge|sword,8.1,111.0,0.844155844155844,0.20634920634920634,Action,bride coma japan revenge sword,kill bill: vol. 1  bride coma japan revenge sword genre: Action
Bowfinger ,Comedy,film within a film|filmmaking|guerrilla filmmaking|making of a movie|scientology parody,6.4,85.0,0.6233766233766234,0.15476190476190474,Comedy,film within a film filmmaking guerrilla filmmaking making of a movie scientology parody,bowfinger  film within a film filmmaking guerrilla filmmaking making of a movie scientology parody genre: Comedy
Stargate SG-1             ,Action|Adventure|Drama|Sci-Fi,2000s|21st century|alternate history|message from outer space|military,8.4,44.0,0.8831168831168831,0.0734126984126984,Action Adventure Drama Sci-Fi,2000s 21st century alternate history message from outer space military,stargate sg-1              2000s 21st century alternate history message from outer space military genre: Action Adventure Drama Sci-Fi
Kill Bill: Vol. 2 ,Action|Crime|Drama|Thriller,assassin|assassination|bride|death|vengeance,8.0,137.0,0.8311688311688311,0.2579365079365079,Action Crime Drama Thriller,assassin assassination bride death vengeance,kill bill: vol. 2  assassin assassination bride death vengeance genre: Action Crime Drama Thriller
Tango & Cash ,Action|Comedy|Crime|Thriller,1980s|80s action|escape|plea bargain|prison,6.3,97.0,0.6103896103896104,0.17857142857142855,Action Comedy Crime Thriller,1980s 80s action escape plea bargain prison,tango & cash  1980s 80s action escape plea bargain prison genre: Action Comedy Crime Thriller
Death Becomes Her ,Comedy|Fantasy|Horror,plastic surgeon|rejuvenation|revenge|rival|rivalry,6.4,104.0,0.6233766233766234,0.19246031746031744,Comedy Fantasy Horror,plastic surgeon rejuvenation revenge rival rivalry,death becomes her  plastic surgeon rejuvenation revenge rival rivalry genre: Comedy Fantasy Horror
Shanghai Noon ,Action|Adventure|Comedy|Western,19th century|chinese|princess|rescue|travel,6.6,110.0,0.6493506493506492,0.20436507936507936,Action Adventure Comedy Western,19th century chinese princess rescue travel,shanghai noon  19th century chinese princess rescue travel genre: Action Adventure Comedy Western
Executive Decision ,Action|Adventure|Thriller,bomb|hostage|military|plane|terrorist,6.4,133.0,0.6233766233766234,0.25,Action Adventure Thriller,bomb hostage military plane terrorist,executive decision  bomb hostage military plane terrorist genre: Action Adventure Thriller
Mr. Popper's Penguins ,Comedy|Family|Fantasy,father|penguin|snowglobe|son|winter,6.0,94.0,0.5714285714285714,0.17261904761904762,Comedy Family Fantasy,father penguin snowglobe son winter,mr. popper's penguins  father penguin snowglobe son winter genre: Comedy Family Fantasy
The Forbidden Kingdom ,Action|Adventure|Fantasy,monkey king|staff|teenager|urination|warrior,6.6,104.0,0.6493506493506492,0.19246031746031744,Action Adventure Fantasy,monkey king staff teenager urination warrior,the forbidden kingdom  monkey king staff teenager urination warrior genre: Action Adventure Fantasy
Free Birds ,Adventure|Animation|Comedy|Family,chipmunk|hunting dog|sabotage|thanksgiving|turkey the bird,5.9,91.0,0.5584415584415584,0.16666666666666666,Adventure Animation Comedy Family,chipmunk hunting dog sabotage thanksgiving turkey the bird,free birds  chipmunk hunting dog sabotage thanksgiving turkey the bird genre: Adventure Animation Comedy Family
Alien 3 ,Action|Horror|Sci-Fi,alien|crash|planet|prison|survivor,6.4,145.0,0.6233766233766234,0.2738095238095238,Action Horror Sci-Fi,alien crash planet prison survivor,alien 3  alien crash planet prison survivor genre: Action Horror Sci-Fi
Evita ,Biography|Drama|History|Musical,actress|argentina|military|politics|singer,6.3,135.0,0.6103896103896104,0.25396825396825395,Biography Drama History Musical,actress argentina military politics singer,evita  actress argentina military politics singer genre: Biography Drama History Musical
Ronin ,Action|Adventure|Crime|Thriller,case|ex kgb|ronin|russian|suitcase,7.3,122.0,0.7402597402597402,0.22817460317460314,Action Adventure Crime Thriller,case ex kgb ronin russian suitcase,ronin  case ex kgb ronin russian suitcase genre: Action Adventure Crime Thriller
The Ghost and the Darkness ,Adventure|Drama|Horror|Thriller,bridge|engineer|hunter|lion|railway,6.8,110.0,0.6753246753246752,0.20436507936507936,Adventure Drama Horror Thriller,bridge engineer hunter lion railway,the ghost and the darkness  bridge engineer hunter lion railway genre: Adventure Drama Horror Thriller
Paddington ,Animation|Comedy|Family|Fantasy,bear|ear wax cleaning|fake newsreel|paddington station london|taxidermist,7.2,95.0,0.7272727272727273,0.1746031746031746,Animation Comedy Family Fantasy,bear ear wax cleaning fake newsreel paddington station london taxidermist,paddington  bear ear wax cleaning fake newsreel paddington station london taxidermist genre: Animation Comedy Family Fantasy
The Watch ,Action|Comedy|Sci-Fi,alien|escape|manager|neighborhood watch|ohio,5.7,102.0,0.5324675324675324,0.1884920634920635,Action Comedy Sci-Fi,alien escape manager neighborhood watch ohio,the watch  alien escape manager neighborhood watch ohio genre: Action Comedy Sci-Fi
The Hunted ,Action|Crime|Drama|Thriller,capture|combat|fbi|hunter|special forces,6.0,94.0,0.5714285714285714,0.17261904761904762,Action Crime Drama Thriller,capture combat fbi hunter special forces,the hunted  capture combat fbi hunter special forces genre: Action Crime Drama Thriller
Instinct ,Drama|Thriller,africa|anthropologist|murder|poacher|psychiatrist,6.5,126.0,0.6363636363636364,0.2361111111111111,Drama Thriller,africa anthropologist murder poacher psychiatrist,instinct  africa anthropologist murder poacher psychiatrist genre: Drama Thriller
Stuck on You ,Comedy,actor|conjoined twins|cook|internet|short order cook,5.8,118.0,0.5454545454545454,0.22023809523809523,Comedy,actor conjoined twins cook internet short order cook,stuck on you  actor conjoined twins cook internet short order cook genre: Comedy
Semi-Pro ,Comedy|Sport,flint michigan|merger|michigan|nba|team,5.8,99.0,0.5454545454545454,0.18253968253968253,Comedy Sport,flint michigan merger michigan nba team,semi-pro  flint michigan merger michigan nba team genre: Comedy Sport
